,date_time,open,close,delta_next_day,nextclose,prediction_0,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_7,prediction_8,prediction_9,prediction_10,prediction_11,prediction_12,prediction_13,prediction_14,prediction_15,prediction_16,prediction_17,prediction_18,prediction_19,prediction_20,prediction_21,prediction_22,prediction_23,prediction_24,prediction_25,prediction_26,prediction_27,prediction_28,prediction_29,prediction_30,prediction_31,prediction_32,prediction_33,prediction_34,prediction_35,prediction_36,prediction_37,prediction_38,prediction_39,prediction_40,prediction_41,prediction_42,prediction_43,prediction_44,prediction_45,prediction_46,prediction_47,prediction_48,prediction_49
0,2012-08-10,30.5,30.420000076293945,-3.1889495849609375,33.57895,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1
1,2012-08-13,30.350000381469727,30.389999389648438,-2.795713424682617,32.925713,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1
2,2012-08-14,30.299999237060547,30.1299991607666,-2.042613983154297,32.242615,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1
3,2012-08-15,30.110000610351562,30.200000762939453,-2.0279483795166016,32.80795,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1
4,2012-08-16,30.360000610351562,30.780000686645508,-2.045858383178711,32.945858,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1
5,2012-08-17,30.920000076293945,30.899999618530273,-3.167329788208008,33.90733,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,2,1
6,2012-08-20,30.81999969482422,30.739999771118164,-2.638164520263672,33.438164,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,2,1
7,2012-08-21,30.760000228881836,30.799999237060547,-4.612804412841797,35.152805,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,0,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,2,1
8,2012-08-22,30.59000015258789,30.540000915527344,-3.962278366088867,34.22228,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1
9,2012-08-23,30.389999389648438,30.260000228881836,-3.1407222747802734,33.70072,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1
