,date_time,open,close,delta_next_day,nextclose,prediction_0,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_7,prediction_8,prediction_9,prediction_10,prediction_11,prediction_12,prediction_13,prediction_14,prediction_15,prediction_16,prediction_17,prediction_18,prediction_19,prediction_20,prediction_21,prediction_22,prediction_23,prediction_24,prediction_25,prediction_26,prediction_27,prediction_28,prediction_29,prediction_30,prediction_31,prediction_32,prediction_33,prediction_34,prediction_35,prediction_36,prediction_37,prediction_38,prediction_39,prediction_40,prediction_41,prediction_42,prediction_43,prediction_44,prediction_45,prediction_46,prediction_47,prediction_48,prediction_49
0,2012-06-25,30.299999237060547,29.8700008392334,-0.39403533935546875,30.414036,1,2,1,2,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,2012-06-26,30.0,30.020000457763672,-0.18724822998046875,30.357248,1,2,1,2,2,0,0,2,1,1,0,1,1,2,2,1,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1
2,2012-06-27,30.190000534057617,30.170000076293945,-0.4180107116699219,30.32801,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,2,0,2,1
3,2012-06-28,29.979999542236328,29.90999984741211,0.246826171875,30.343174,2,2,0,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,0,1,1,1,2,2,0,0,1,1,2,2,2,2,1,2,2,2,2
4,2012-06-29,30.450000762939453,30.59000015258789,0.35678672790527344,30.203213,2,2,0,2,2,2,2,2,0,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,0,2,2,2,2,2,2,1,0,2,2,2,2,1,2,2,2,2
5,2012-07-02,30.6200008392334,30.559999465942383,0.5314197540283203,30.22858,2,2,2,2,2,2,2,2,2,0,2,0,1,2,2,0,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2
6,2012-07-03,30.229999542236328,30.760000228881836,0.34243202209472656,30.357569,2,2,0,2,2,2,2,2,0,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,0,0,2,2,2,2,2,2,1,0,2,2,2,2,1,2,2,2,2
7,2012-07-05,30.59000015258789,30.700000762939453,-0.30613136291503906,30.496132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,2,0,2,1
8,2012-07-06,30.610000610351562,30.190000534057617,-0.5764713287353516,30.576471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2012-07-09,30.1200008392334,30.0,-0.759796142578125,30.499796,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
