,date_time,open,close,delta_next_day,nextclose,prediction_0,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_7,prediction_8,prediction_9,prediction_10,prediction_11,prediction_12,prediction_13,prediction_14,prediction_15,prediction_16,prediction_17,prediction_18,prediction_19,prediction_20,prediction_21,prediction_22,prediction_23,prediction_24,prediction_25,prediction_26,prediction_27,prediction_28,prediction_29,prediction_30,prediction_31,prediction_32,prediction_33,prediction_34,prediction_35,prediction_36,prediction_37,prediction_38,prediction_39,prediction_40,prediction_41,prediction_42,prediction_43,prediction_44,prediction_45,prediction_46,prediction_47,prediction_48,prediction_49
0,6/25/2012,30.299999237060547,29.87000084,-1.838155746,31.858156,2,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6/26/2012,30,30.020000457763672,-1.35449791,31.524498,2,1,1,1,2,0,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2,6/27/2012,30.190000534057617,30.170000076293945,-1.448877335,31.358877,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,6/28/2012,29.979999542236328,29.90999984741211,-0.779737473,31.369738,2,1,1,1,2,2,2,1,1,2,0,2,1,1,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1
4,6/29/2012,30.450000762939453,30.59000015258789,-0.643011093,31.20301,2,1,1,1,2,2,2,1,1,2,2,2,1,0,2,0,0,2,1,0,2,2,2,1,0,2,2,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,1,1,1,0,1,1
5,7/2/2012,30.62000084,30.559999465942383,-0.690122604,31.450123,2,1,1,1,2,2,2,1,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,2,1,1,1,1,2,1,2,2,0,2,0,0,2,2,2,1,2,1,1,1,0,1,1
6,7/3/2012,30.229999542236328,30.760000228881836,-0.969749451,31.66975,2,1,1,1,2,2,2,1,1,2,2,2,1,1,2,1,0,2,1,1,2,2,2,1,0,2,2,1,1,1,1,2,1,0,0,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1
7,7/5/2012,30.59000015258789,30.700000762939453,-1.622516632,31.812517,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,7/6/2012,30.610000610351562,30.190000534057617,-1.900123596,31.900124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,7/9/2012,30.12000084,30,-2.005378723,31.745378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,7/10/2012,30.079999923706055,29.739999771118164,-2.198766708,31.498766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,7/11/2012,29.709999084472656,29.299999237060547,-2.597553253,31.227552,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,7/12/2012,29.149999618530273,28.62999916,-1.478948593,30.868948,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,7/13/2012,28.760000228881836,29.389999389648438,-0.893974304,30.333975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,2,1,1,1,1,1,2,1,1,0,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1
14,7/16/2012,29.479999542236328,29.440000534057617,-0.652656555,30.312656,1,1,1,1,1,1,1,1,1,1,2,1,1,0,2,1,2,2,1,0,2,2,2,1,1,2,2,1,1,1,1,2,1,2,2,0,2,0,1,2,0,1,1,2,1,1,1,0,1,1
15,7/17/2012,29.639999389648438,29.65999984741211,-0.0123806,30.462381,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,0
16,7/18/2012,29.600000381469727,30.450000762939453,-0.031150818,30.70115,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,0
17,7/19/2012,30.510000228881836,30.670000076293945,-1.009243011,31.129244,1,1,1,1,2,0,2,1,1,2,2,0,0,2,2,0,2,2,0,2,2,2,2,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,0,1,1,2,1,2,1,1,1,1,1,1
18,7/20/2012,31,30.12000084,-2.348308563,31.62831,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,7/23/2012,29.56999969482422,29.280000686645508,-2.597633362,31.747633,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
