,Unnamed: 0,date_time,open,close,delta_next_day,nextclose,prediction_0,prediction_2,prediction_4,prediction_6,prediction_8,prediction_10,prediction_12,prediction_14,prediction_16,prediction_18,prediction_20,prediction_22,prediction_24,prediction_26,prediction_28,prediction_30,prediction_32,prediction_34,prediction_36,prediction_38,prediction_40,prediction_42,prediction_44,prediction_46,prediction_48,Unnamed: 0,prediction_1,prediction_3,prediction_5,prediction_7,prediction_9,prediction_11,prediction_13,prediction_15,prediction_17,prediction_19,prediction_21,prediction_23,prediction_25,prediction_27,prediction_29,prediction_31,prediction_33,prediction_35,prediction_37,prediction_39,prediction_41,prediction_43,prediction_45,prediction_47,prediction_49
0,0,2012-06-25,30.299999237060547,29.8700008392334,-0.6604537963867188,30.680454,1,2,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,0,2,1,1,1,2,1,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2012-06-26,30.0,30.020000457763672,-0.3451786041259765,30.515179,1,2,1,0,2,2,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,2,0,1,1,2,1,0,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
2,2,2012-06-27,30.190000534057617,30.170000076293945,-0.5135040283203125,30.423504,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,3,2012-06-28,29.979999542236328,29.90999984741211,0.1729755401611328,30.417025,1,2,2,2,2,2,1,2,1,2,2,2,0,1,2,1,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,0,1,1,1,2,2,2,1,2
4,4,2012-06-29,30.450000762939453,30.59000015258789,0.3207683563232422,30.239231,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2
5,5,2012-07-02,30.6200008392334,30.559999465942383,0.434427261352539,30.325573,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2
6,6,2012-07-03,30.229999542236328,30.76000022888184,0.224435806274414,30.475565,1,2,2,2,2,2,1,2,1,2,2,2,0,1,2,1,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,0,2
7,7,2012-07-05,30.59000015258789,30.700000762939453,-0.4342784881591797,30.624279,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,1,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
8,8,2012-07-06,30.61000061035156,30.190000534057617,-0.7005825042724609,30.700583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,9,2012-07-09,30.1200008392334,30.0,-0.8511505126953125,30.59115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,10,2012-07-10,30.07999992370605,29.739999771118164,-1.1397647857666016,30.439764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,11,2012-07-11,29.709999084472656,29.299999237060547,-1.6167964935302734,30.246796,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,12,2012-07-12,29.149999618530277,28.6299991607666,-0.5715122222900391,29.961512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
13,13,2012-07-13,28.76000022888184,29.38999938964844,-0.0437393188476562,29.48374,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,0,0,2,1,1,2,2,2,0,13,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,2,2,0,1,2
14,14,2012-07-16,29.479999542236328,29.440000534057617,0.2512321472167969,29.408768,1,1,1,1,0,2,1,1,1,2,2,0,0,1,2,1,2,2,2,0,0,2,2,2,2,14,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,0,2
15,15,2012-07-17,29.63999938964844,29.65999984741211,0.9777565002441406,29.472244,1,2,0,2,2,2,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,15,2,1,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2
16,16,2012-07-18,29.600000381469727,30.450000762939453,1.0885066986083984,29.581493,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17,17,2012-07-19,30.51000022888184,30.670000076293945,0.2866764068603515,29.833324,1,0,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,17,1,1,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2
18,18,2012-07-20,31.0,30.1200008392334,-0.8811779022216797,30.161179,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,19,2012-07-23,29.56999969482422,29.280000686645508,-1.1210556030273438,30.271055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,20,2012-07-24,29.239999771118164,29.149999618530277,-1.164926528930664,29.994926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,21,2012-07-25,29.239999771118164,28.82999992370605,-0.6016864776611328,29.761686,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,21,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,22,2012-07-26,29.229999542236328,29.15999984741211,0.2235679626464843,29.536432,1,0,1,1,2,2,1,2,1,2,2,2,0,1,2,1,2,2,2,2,1,2,2,2,2,22,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,0,2
23,23,2012-07-27,29.479999542236328,29.76000022888184,0.168252944946289,29.471746,1,0,1,1,2,2,1,0,1,2,2,2,0,1,2,1,2,2,2,2,1,2,2,2,2,23,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,0,1,1,1,2,2,2,1,2
24,24,2012-07-30,29.75,29.63999938964844,-0.1113605499267578,29.58136,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,2,2,2,1,24,1,1,1,1,1,1,1,2,2,1,0,1,1,1,1,1,1,1,1,1,0,2,2,1,2
25,25,2012-07-31,29.479999542236328,29.46999931335449,-0.3005008697509765,29.7105,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,0,1,25,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1
26,26,2012-08-01,29.59000015258789,29.40999984741211,-0.5121936798095703,29.702194,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,26,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
27,27,2012-08-02,29.209999084472656,29.190000534057617,0.0604095458984375,29.68959,1,1,1,1,2,2,1,2,1,0,2,2,1,1,2,1,0,0,2,0,1,2,2,2,2,27,1,1,1,1,1,1,0,2,2,1,2,1,1,0,0,0,1,1,1,1,2,2,2,1,2
28,28,2012-08-03,29.530000686645508,29.75,0.3802452087402344,29.569756,1,2,1,1,2,2,1,2,1,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,2,28,2,1,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2
29,29,2012-08-06,30.0,29.950000762939453,0.585113525390625,29.674887,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,29,2,1,2,2,2,0,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2
30,30,2012-08-07,30.06999969482422,30.26000022888184,0.4640464782714844,29.865953,1,2,2,2,2,2,1,2,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,30,2,1,2,2,2,0,2,2,2,1,2,2,1,2,2,2,2,0,1,2,2,2,2,2,2
31,31,2012-08-08,30.209999084472656,30.32999992370605,0.4307060241699219,30.069294,1,2,2,2,2,2,1,2,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,31,2,1,2,2,2,0,2,2,2,1,2,2,1,2,2,2,2,0,1,2,2,2,2,2,2
32,32,2012-08-09,30.38999938964844,30.5,0.1726760864257812,30.247324,1,2,1,0,2,2,1,2,1,2,2,2,0,0,2,1,2,2,2,2,0,2,2,2,2,32,2,1,2,1,2,1,2,2,2,1,2,1,1,2,2,2,0,1,1,1,2,2,2,0,2
33,33,2012-08-10,30.5,30.420000076293945,-0.0366783142089843,30.426678,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,1,1,1,2,1,1,2,2,2,0,33,0,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,0,2,2,1,2
34,34,2012-08-13,30.350000381469727,30.38999938964844,-0.3851337432861328,30.515133,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,1,34,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1
35,35,2012-08-14,30.299999237060547,30.1299991607666,-0.3518314361572265,30.551832,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,1,35,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1
36,36,2012-08-15,30.11000061035156,30.200000762939453,0.2977142333984375,30.482286,1,2,1,1,2,2,1,2,1,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,2,36,2,1,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2
37,37,2012-08-16,30.36000061035156,30.780000686645508,0.4383449554443359,30.461655,1,2,1,0,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,37,2,1,0,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2
38,38,2012-08-17,30.920000076293945,30.899999618530277,0.155029296875,30.58497,1,1,1,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,0,0,2,2,2,2,38,1,1,1,1,2,1,2,2,2,1,2,1,1,2,2,2,0,1,1,1,2,2,2,0,2
